videoId,raceId,focusDriverId,category,title,publishDatetime,durationSeconds,views,likes,comments,avgViewPct,engagement_rate,total_watch_time_hours,season,country,driverId,teamId,position,points,status,content_period
5001,,-1.0,off-season,Technical regulations deep dive | 2023,2023-01-05 18:00:00,660,16182.0,735.0,51.0,45.2,4.86,1341.0,2023.0,,,,,,,Off-Season
5002,,-1.0,off-season,Drivers to watch | 2023,2023-01-09 16:00:00,1485,12153.0,534.0,45.0,45.4,4.76,2276.0,2023.0,,,,,,,Off-Season
5003,,-1.0,off-season,Rule changes explained | 2023,2023-01-12 17:00:00,1140,11549.0,439.0,46.0,47.5,4.2,1737.0,2023.0,,,,,,,Off-Season
5004,,-1.0,off-season,Season preview | 2023,2023-01-20 16:00:00,1245,19425.0,932.0,67.0,47.6,5.14,3198.0,2023.0,,,,,,,Off-Season
5005,,-1.0,off-season,Engine suppliers explained | 2023,2023-01-21 17:00:00,1305,9844.0,441.0,37.0,50.4,4.86,1798.0,2023.0,,,,,,,Off-Season
5006,,-1.0,off-season,Pre-season testing analysis | 2023,2023-02-06 18:00:00,1185,15123.0,559.0,37.0,48.4,3.94,2409.0,2023.0,,,,,,,Off-Season
5007,,-1.0,off-season,Team launch roundup | 2023,2023-02-07 18:00:00,1455,11029.0,508.0,29.0,49.8,4.87,2220.0,2023.0,,,,,,,Off-Season
5008,,-1.0,off-season,Predictions show | 2023,2023-02-10 18:00:00,1005,15373.0,636.0,64.0,45.5,4.55,1953.0,2023.0,,,,,,,Off-Season
5009,,-1.0,off-season,Fantasy league launch | 2023,2023-02-20 16:00:00,630,17468.0,756.0,74.0,48.8,4.75,1492.0,2023.0,,,,,,,Off-Season
5010,,-1.0,off-season,Calendar guide | 2023,2023-02-20 17:00:00,1395,21998.0,1058.0,90.0,48.4,5.22,4126.0,2023.0,,,,,,,Off-Season
5011,202301.0,-1.0,qualifying-report,Silverpine Grand Prix 2023 qualifying report,2023-03-05 06:35:10,1410,25079.0,1134.0,81.0,46.6,4.84,4577.0,2023.0,United Kingdom,,,,,,Race Season
5012,202301.0,1.0,driver-focus,Kasper Renn: the story so far,2023-03-06 13:09:34,735,21362.0,982.0,71.0,44.0,4.93,1919.0,2023.0,United Kingdom,1.0,1.0,3.0,15.0,Finished,Race Season
5013,202301.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-03-06 22:05:36,1290,22672.0,983.0,65.0,50.9,4.62,4135.0,2023.0,United Kingdom,2.0,1.0,1.0,25.0,Finished,Race Season
5014,202301.0,-1.0,race-recap,Silverpine Grand Prix 2023 race highlights and analysis,2023-03-09 12:05:33,660,29874.0,1173.0,61.0,50.2,4.13,2749.0,2023.0,United Kingdom,,,,,,Race Season
5015,202302.0,-1.0,qualifying-report,Costa Azul Grand Prix 2023 qualifying report,2023-03-17 23:00:33,855,46015.0,1781.0,130.0,41.2,4.15,4503.0,2023.0,Spain,,,,,,Race Season
5016,202302.0,4.0,driver-focus,Elodie Marchand: the story so far,2023-03-20 05:40:00,1320,26196.0,1163.0,35.0,39.6,4.57,3804.0,2023.0,Spain,4.0,2.0,10.0,1.0,Finished,Race Season
5017,202302.0,2.0,driver-focus,Mateo Vidal: the story so far,2023-03-20 14:40:06,915,30142.0,1186.0,126.0,50.9,4.35,3899.0,2023.0,Spain,2.0,1.0,16.0,0.0,Finished,Race Season
5018,202302.0,-1.0,race-recap,Costa Azul Grand Prix 2023 race highlights and analysis,2023-03-20 20:52:26,1425,42154.0,1887.0,67.0,48.4,4.64,8076.0,2023.0,Spain,,,,,,Race Season
5019,202302.0,4.0,driver-focus,Elodie Marchand: the story so far,2023-03-21 10:35:40,795,40007.0,1900.0,119.0,47.5,5.05,4197.0,2023.0,Spain,4.0,2.0,10.0,1.0,Finished,Race Season
5020,202302.0,-1.0,tech-analysis,How the cars evolved for Costa Azul Grand Prix 2023,2023-03-21 18:50:41,1335,26607.0,950.0,69.0,44.5,3.83,4391.0,2023.0,Spain,,,,,,Race Season
5021,202303.0,-1.0,qualifying-report,Sakura Grand Prix 2023 qualifying report,2023-03-30 18:27:25,870,24404.0,1067.0,111.0,39.7,4.83,2341.0,2023.0,Japan,,,,,,Race Season
